,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
373,Antalaha,61,MG,1575390548,77,-14.9,50.28,27.38,7.11
374,Camacha,40,PT,1575390550,52,33.08,-16.33,19.0,7.2
375,Soyo,40,AO,1575390552,70,-6.13,12.37,30.0,3.6
376,La Ronge,90,CA,1575390554,80,55.1,-105.3,-1.0,3.6
377,Raduzhnyy,100,RU,1575390556,95,62.1,77.47,-10.04,2.74
378,Salalah,93,OM,1575390558,65,17.01,54.1,26.0,1.0
379,Boyolangu,22,ID,1575390560,85,-8.09,111.9,24.34,1.65
380,Kohima,5,IN,1575390562,96,25.66,94.1,8.21,0.89
381,Gainesville,1,US,1575390567,42,29.65,-82.33,10.56,6.7
382,Tawang,94,BT,1575390569,96,27.59,91.87,-3.14,1.49
383,Iglesias,40,ES,1575390571,69,42.3,-3.99,5.0,5.7
384,Port Augusta,40,AU,1575390573,72,-32.49,137.76,15.0,4.1
385,Nampula,40,MZ,1575390575,66,-15.12,39.26,29.0,4.1
386,Formosa,100,BR,1575390578,74,-15.55,-47.33,25.7,2.85
387,Gunupur,3,IN,1575390580,79,19.07,83.81,18.62,1.02
388,Bielsk Podlaski,0,PL,1575390582,85,52.77,23.19,0.56,0.45
389,Arona,75,IT,1575390584,87,45.76,8.56,9.0,1.5
390,Marrakesh,75,MA,1575390586,62,31.63,-7.99,15.0,3.6
391,Vysokogornyy,100,RU,1575390588,94,50.1,139.13,-18.51,6.72
392,Vesoul,0,FR,1575390590,80,47.62,6.16,3.33,4.51
393,Kumluca,0,TR,1575390592,76,36.37,30.29,11.35,0.81
394,Buala,98,SB,1575390594,83,-8.15,159.59,26.01,2.39
395,Westport,90,US,1575390482,59,41.14,-73.36,2.78,7.7
396,Sioux Lookout,90,CA,1575390350,85,50.1,-91.92,-4.0,3.1
397,Toamasina,40,MG,1575390603,74,-18.17,49.38,26.0,1.0
398,Gravdal,75,NO,1575390606,100,59.79,5.78,8.33,3.1
399,Tantoyuca,33,MX,1575390609,82,21.35,-98.23,22.19,2.44
400,Roald,75,NO,1575390611,100,62.58,6.12,8.0,9.3
401,Leningradskiy,100,RU,1575390613,86,69.38,178.42,-5.51,9.14
402,Vestmannaeyjar,90,IS,1575390615,93,63.44,-20.27,6.0,2.6
403,Oksfjord,75,NO,1575390617,74,70.24,22.35,1.0,7.2
404,Consolacion del Sur,71,CU,1575390619,63,22.5,-83.51,23.39,3.27
405,Warrnambool,100,AU,1575390622,80,-38.38,142.48,10.56,4.92
406,Kharagpur,4,IN,1575390624,56,22.34,87.3,20.37,1.74
407,Kirakira,100,SB,1575390626,85,-10.46,161.92,24.41,3.18
408,Minervino Murge,40,IT,1575390628,54,41.09,16.08,14.0,6.7
409,Garden City,90,US,1575390630,100,43.62,-116.24,1.67,0.79
410,Port Lincoln,0,AU,1575390632,91,-34.72,135.86,11.53,3.03
411,Guara,40,CU,1575390634,53,22.81,-82.2,24.0,4.1
412,Caravelas,100,BR,1575390636,95,-17.73,-39.27,22.52,2.61
413,Vulcan,100,CA,1575390638,83,50.4,-113.26,-1.48,2.51
414,Bandarbeyla,100,SO,1575390640,71,9.49,50.81,26.32,13.45
415,Arman,100,RU,1575390643,66,59.7,150.17,-11.15,12.21
416,Suhbaatar,9,MN,1575390645,77,50.23,106.21,-16.4,1.19
417,Gat,20,SN,1575390647,33,14.69,-16.54,32.0,6.2
418,Racale,75,IT,1575390649,87,39.96,18.09,15.0,5.7
419,Kavaratti,100,IN,1575390651,86,10.57,72.64,26.37,7.27
420,Katherine,90,AU,1575390653,62,-14.47,132.26,30.0,1.5
421,Piacabucu,39,BR,1575390656,67,-10.41,-36.43,28.24,6.21
422,Ohara,20,JP,1575390658,64,35.12,135.83,7.22,1.34
423,Maningrida,0,AU,1575390660,81,-12.05,134.23,26.01,0.38
424,Haibara,75,JP,1575390663,84,34.53,135.95,10.0,9.3
425,Lima,90,PE,1575390534,83,-12.06,-77.04,21.0,3.6
426,Berliste,75,RO,1575390667,80,44.99,21.46,2.78,1.0
427,Kholodnyy,0,RU,1575390669,92,62.72,147.95,-34.04,3.17
428,San Quintin,100,PH,1575390671,75,17.54,120.52,24.7,6.46
429,Watsa,24,CD,1575390673,92,3.04,29.53,19.45,0.72
430,Ternate,75,PH,1575390675,78,14.29,120.72,27.22,5.7
431,Sao Felix do Xingu,0,BR,1575390677,30,-6.64,-51.99,35.79,1.15
432,Kilindoni,15,TZ,1575390679,74,-7.91,39.67,28.41,4.37
433,Hebi,0,CN,1575390682,24,35.75,114.29,1.91,0.62
434,Gamboma,74,CG,1575390684,87,-1.87,15.88,23.54,0.89
435,Lakhdenpokhya,98,RU,1575390686,88,61.52,30.2,-4.58,2.59
436,Zyryanka,42,RU,1575390688,98,65.73,150.89,-36.78,3.25
437,Paamiut,100,GL,1575390690,65,61.99,-49.67,-5.65,9.71
438,Dingle,100,PH,1575390692,89,11.0,122.67,22.77,1.05
439,Aljezur,0,PT,1575390694,62,37.31,-8.8,17.22,8.17
440,Saint-Georges,100,CA,1575390696,81,46.12,-70.67,-3.89,1.34
441,Bassar,51,TG,1575390701,24,9.26,0.78,33.0,2.6
442,Nyurba,1,RU,1575390703,96,63.29,118.35,-37.06,2.2
443,Srednekolymsk,81,RU,1575390705,97,67.46,153.71,-32.24,1.9
444,Xiamen,61,CN,1575390707,47,24.46,118.07,14.0,8.0
445,Kalemie,100,CD,1575390709,96,-5.95,29.2,19.29,2.76
446,Qasigiannguit,20,GL,1575390712,47,68.82,-51.19,-11.0,6.2
447,Nouadhibou,0,MR,1575390714,53,20.93,-17.03,23.0,7.7
448,Marsa Matruh,40,EG,1575390716,55,31.35,27.25,19.0,3.1
449,Tallahassee,1,US,1575390486,52,30.44,-84.28,9.44,1.5
450,Lompoc,1,US,1575390679,87,34.64,-120.46,12.22,3.1
451,Taltal,0,CL,1575390722,66,-25.41,-70.49,17.44,3.34
452,Kupang,40,ID,1575390724,94,-10.16,123.6,26.0,3.1
453,Boysun,99,UZ,1575390727,33,38.2,67.2,8.46,0.9
454,Beloha,0,MG,1575390729,53,-25.17,45.06,27.48,1.94
455,Avera,1,US,1575390731,52,33.19,-82.53,8.0,2.6
456,Termez,53,AF,1575390733,57,37.23,67.28,12.0,1.0
457,Polyarnyy,74,RU,1575390735,78,69.2,33.45,-13.0,1.0
458,Tandil,100,AR,1575390737,65,-37.33,-59.14,19.19,6.42
459,Gweta,56,BW,1575390739,37,-20.21,25.26,30.33,2.65
460,Itoman,75,JP,1575390742,63,26.12,127.67,19.0,6.7
461,Teya,20,MX,1575390744,61,21.05,-89.07,25.0,5.1
462,Mecca,0,SA,1575390596,33,21.43,39.83,28.15,3.63
463,Puri,10,ID,1575390485,85,-7.54,112.45,25.27,0.82
464,Emba,20,CY,1575390750,62,34.81,32.42,17.0,2.1
465,Teguldet,65,RU,1575390752,91,57.31,88.17,-10.61,3.36
466,Teknaf,0,BD,1575390754,81,20.86,92.31,14.42,0.99
467,Husavik,62,CA,1575390756,85,50.56,-96.99,-3.33,3.58
468,Rock Sound,73,BS,1575390758,59,24.9,-76.2,22.0,5.5
469,Korem,84,ET,1575390760,86,12.51,39.52,12.95,2.38
470,Solnechnyy,100,RU,1575390763,81,50.72,136.64,-12.2,5.25
471,Terdal,100,IN,1575390768,95,16.49,75.05,19.37,2.59
472,Saint-Pierre,4,FR,1575390770,93,48.95,4.24,5.0,3.1
473,Frankfort,90,US,1575390642,71,38.2,-84.87,2.22,4.1
474,Karasjok,100,NO,1575390774,79,69.47,25.52,-5.0,5.7
475,Dalbandin,25,PK,1575390776,35,28.9,64.41,14.38,0.1
476,Ames,1,US,1575390541,65,42.03,-93.62,5.0,5.1
477,Port Macquarie,40,AU,1575390783,93,-31.43,152.91,20.0,0.5
478,Grand Gaube,40,MU,1575390785,73,-20.01,57.66,25.0,5.1
479,Richards Bay,100,ZA,1575390788,76,-28.77,32.06,22.0,16.18
480,Los Zacatones,5,MX,1575390790,55,22.95,-102.05,17.0,2.6
481,Yerbogachen,23,RU,1575390792,91,61.28,108.01,-34.26,2.33
482,Kieta,41,PG,1575390794,78,-6.22,155.63,27.0,2.59
483,Broome,16,GB,1575390796,87,52.47,1.45,8.0,3.6
484,Ixtapa,40,MX,1575390801,69,20.71,-105.21,27.78,1.58
485,Erzincan,54,TR,1575390803,42,39.75,39.49,0.0,1.0
486,Hamilton,90,CA,1575390805,86,43.26,-79.87,1.11,3.1
487,Caxito,75,BR,1575390807,57,-22.65,-42.51,26.0,3.1
488,Rabaul,49,PG,1575390809,75,-4.2,152.17,28.19,2.15
489,Kodinsk,100,RU,1575390812,98,58.6,99.18,-19.44,1.49
490,Byron Bay,0,AU,1575390814,48,-28.65,153.62,19.0,1.5
491,Dongsheng,53,CN,1575390816,47,29.72,112.52,8.41,1.49
492,Vardo,40,US,1575390818,56,39.62,-77.74,7.0,8.7
493,Petropavlovsk-Kamchatskiy,40,RU,1575390645,74,53.05,158.65,-1.0,3.0
494,Sabla,62,NG,1575390822,12,12.75,4.71,26.76,3.35
495,Mingaora,7,PK,1575390649,26,34.78,72.36,3.99,4.28
496,Nioro,76,GM,1575390826,9,13.79,-15.05,34.38,3.14
497,Christchurch,68,NZ,1575390588,58,-43.53,172.64,14.44,3.6
498,Butembo,89,CD,1575390830,96,0.12,29.29,16.69,1.92
499,Viradouro,40,BR,1575390678,48,-20.87,-48.29,30.0,1.5
500,West Bay,90,CA,1575390837,93,49.34,-123.21,7.22,3.6
501,Delta,1,US,1575390839,79,38.74,-108.07,2.22,2.1
502,Erzin,33,TR,1575390841,81,36.95,36.2,16.11,2.1
503,Nicolas Bravo,5,MX,1575390843,24,24.39,-104.74,15.0,2.1
504,Grand Baie,40,MU,1575390845,73,-20.02,57.58,25.0,5.1
505,Severo-Yeniseyskiy,91,RU,1575390848,88,60.37,93.04,-17.82,1.61
506,Bubaque,60,GW,1575390850,53,11.28,-15.83,29.9,2.01
507,Ushirombo,100,TZ,1575390852,91,-3.47,31.9,20.51,1.29
508,Mopipi,88,BW,1575390854,32,-21.2,24.86,32.36,4.29
509,Mahajanga,20,MG,1575390856,70,-15.72,46.32,30.0,2.6
510,Champerico,40,MX,1575390858,64,16.38,-93.6,24.0,2.1
511,Lazaro Cardenas,75,MX,1575390860,70,28.39,-105.62,9.0,2.84
512,Ust-Kuyga,59,RU,1575390862,100,70.0,135.55,-38.13,0.71
513,Baruun-Urt,37,MN,1575390864,92,46.68,113.28,-18.66,0.9
514,Beni,57,CD,1575390867,98,0.49,29.47,18.56,1.13
515,Anori,60,BR,1575390869,34,-3.74,-61.66,35.7,1.76
516,Yuzhno-Kurilsk,100,RU,1575390871,55,44.03,145.86,-2.36,12.05
517,Sarangani,100,PH,1575390873,78,5.4,125.46,28.29,5.23
518,Haines Junction,100,CA,1575390875,96,60.75,-137.51,-10.98,1.24
519,Paldiski,40,EE,1575390877,86,59.35,24.08,-2.0,4.1
520,Nieuwpoort,0,BE,1575390879,93,51.13,2.75,7.22,2.6
521,Boende,54,CD,1575390881,91,-0.28,20.88,21.95,0.59
522,Atherton,67,AU,1575390884,88,-17.27,145.48,26.0,1.0
523,Morondava,0,MG,1575390886,75,-20.3,44.28,26.47,2.05
524,Saldanha,11,PT,1575390888,76,41.42,-6.55,3.46,2.75
525,Oistins,40,BB,1575390890,62,13.07,-59.53,31.0,8.7
526,Ojinaga,1,US,1575390892,46,29.56,-104.41,12.0,3.6
527,Ulaanbaatar,0,MN,1575390686,77,47.92,106.92,-19.0,3.0
528,Agadir,40,MA,1575390896,67,30.42,-9.58,17.0,8.7
529,Baisha,81,CN,1575390898,97,19.23,109.45,9.78,1.07
530,Batemans Bay,7,AU,1575390900,67,-35.71,150.18,11.11,2.99
531,Ewo,100,CG,1575390905,85,-0.88,14.81,22.46,0.37
532,Anadyr,73,RU,1575390907,83,64.73,177.51,-20.0,4.0
533,Umba,71,RU,1575390909,75,66.69,34.34,-2.97,5.97
534,Guerrero Negro,75,MX,1575390911,36,27.97,-114.04,21.96,2.7
535,Nha Trang,20,VN,1575390913,65,12.24,109.19,25.0,5.1
536,Touros,20,BR,1575390916,52,-5.2,-35.46,31.0,6.2
537,Mayumba,99,GA,1575390918,83,-3.44,10.65,27.14,4.16
538,Chirongui,65,YT,1575390920,74,-12.93,45.15,29.0,2.1
539,Mogadishu,35,SO,1575390922,79,2.04,45.34,27.29,4.62
540,Banda Aceh,96,ID,1575390700,89,5.56,95.32,23.67,1.19
541,Minas Novas,99,BR,1575390926,88,-17.22,-42.59,22.27,2.28
542,Toora-Khem,25,RU,1575390928,97,52.47,96.11,-18.8,0.73
543,Cabedelo,75,BR,1575390930,62,-6.97,-34.84,30.0,5.1
544,Campo Maior,47,BR,1575390932,30,-4.83,-42.16,36.0,1.79
